38.033579,-78.510550,-82.8
38.033000,-78.509896,-74
38.032577,-78.510132,-77.2
38.032277,-78.511139,-84.6
38.032512,-78.510807,-83.2
38.032043,-78.510045,-102
38.033410,-78.509640,-88
38.033230,-78.510415,-80.2
38.032734,-78.511394,-92.2
38.032201,-78.511732,-91.2
38.031867,-78.511322,-67.8
38.033659,-78.511312,-88.7
38.033198,-78.511543,-91.6
38.033845,-78.511897,-87.5
38.033270,-78.512304,-94.8
38.032653,-78.512691,-82.2
38.032725,-78.509418,-101.4
38.031829,-78.512465,-94.4
38.030929,-78.511736,-77.2
38.034217,-78.510996,-96.6
38.033938,-78.510067,-92.6
38.034546,-78.511956,-83.5
38.031703,-78.511055,-99.65
38.031635,-78.510824,-86.23
38.031529,-78.510577,-95.82
38.032112,-78.510792,-91.84
38.032058,-78.510507,-86.91
38.031965,-78.510228,-97.11
38.033418,-78.509966,-91.5
38.033283,-78.509724,-79.95
38.033279,-78.509477,-88.1
38.033249,-78.510159,-79.1
38.032953,-78.510309,-81.73
38.032750,-78.510427,-79.87
38.032531,-78.510556,-82.74
38.033008,-78.509461,-87.17
38.032810,-78.509590,-93.24
38.032560,-78.509756,-79.35
38.032311,-78.509917,-95.26
38.033621,-78.511092,-98.45
38.033139,-78.511392,-98.06
38.033181,-78.510931,-89.46
38.032810,-78.510979,-83.53
38.032674,-78.511060,-95.22
38.032531,-78.511151,-86.82
38.032134,-78.511323,-92.16